JMBG,Email,Password,FirstName,LastName,Phone,Role,Blocked
101,jovana@gmail.com,123,Jovana,Cankovic,021/542-256,OWNER,False
102,mina@gmail.com,123,Hermina,Savkovic,023/121-256,ADMIN,False
103,jeca@gmail.com,123,Jelena,Djordjevic,011/111-222,GUEST,False
104,dragan@gmail.com,123,Dragan,Cankovic,023/555-111,OWNER,False
105,milana@gmail.com,123,Milana,Radovanovic,013/767-203,OWNER,False
106,vera@gmail.com,123,Vera,Nadlacki,023/543-211,GUEST,False
107,sanela@gmail.com,123,Sanela,Dejan,021/989-333,GUEST,False
108,mika@gmail.com,123,Mihajlo,Omaljev,023/123-123,GUEST,True
555,jela@gmail.com,123,Jelena,Gruncic,0691233211,GUEST,False
109,olja@gmail.com,123,Olivera,Kralj,06999999,OWNER,False
1666,mil,123,Milana,R,1233,OWNER,False
1011,jjjj,123,jbjh,"  jkj",45515,OWNER,True
